7dc7cee7654ae8cc002da54324c3d1475a8494e6	2026-09-12T16:37:56+10:00	test: name the complete evidence publication contract
50aaf697673756e7935fcc20908c44749a905e51	2026-09-12T16:27:12+10:00	test: retain private native evidence and capture release rows
006193066a6c9c1db47554c6a80090b028724f1d	2026-09-12T13:08:56+10:00	fix(ios): allow release labels to wrap at large text sizes
483063bf23b000b2d816365a3046d8a828748dfd	2026-09-12T12:49:44+10:00	test(ios): add bounded release matrix pilot
4c3304da4de642f493ffcdeb04577fd7a9c2bd31	2026-09-12T12:08:38+10:00	test(ios): require full visibility before trial audit
2a785d93bf26a74eab91793bd61dace1712ba8f9	2026-09-12T11:54:15+10:00	test(ios): read trial copy values after native markers
b50455f57a3378e6d7abb6405d2c93233ca9c016	2026-09-12T11:42:13+10:00	fix(ios): set explicit semantic colour on trial headers
ba7490665d4a5417b6d1dc580b6a1717c46e0b8c	2026-09-12T11:26:40+10:00	fix(ios): improve Landmarks trial section contrast
f14567b77936034445f35d4bce515f3006b238d7	2026-09-12T10:15:08+10:00	Retain ACE audit diagnostic and provisional preview candidate
cc971c6917fd6ab2108078946c83078cf2f5ad03	2026-09-12T09:41:23+10:00	Observe native trial copy values from the simulator host
39535d0da01fb877e737cd87498381e7d2dd132a	2026-09-12T09:13:49+10:00	Allow simulator startup migration to complete in trial
ab4e943ff1c07dd9bc12ec4db138ab40b43b3f6e	2026-09-12T09:05:41+10:00	feat(ios): add isolated ACE Landmarks release trial
448e5a0825b39c9b29336b3c809eff2235ca4670	2026-09-12T08:30:20+10:00	test(ios): correct deliberate Landmarks assertion
d6c82e8e5e0a282b2a521948a76bcca529139fe1	2026-09-12T08:19:02+10:00	Add one native Landmarks failure and passing evidence test
700c830a2f3b123ca7cc061685f72af3283d861d	2026-09-12T07:51:36+10:00	Allow simulator discovery to initialise for Landmarks trial
4f0b947ed53e65d75a48d14a4d80a41e9963bd1f	2026-09-12T07:11:33+10:00	ci: prepare isolated Apple Landmarks baseline trial
783a12113a8e85ba228d5a96f6bdc2678820e3e6	2026-09-11T21:38:04+10:00	test: align native evidence pin with approved specification
3acd4147c176465a7c8f167da542d8cbd7184e3a	2026-09-11T20:06:24+10:00	fix(ios): size full-matrix retention controls from native records
0196fdbba0071c53747249dd0352b6f9e36fb555	2026-09-11T18:49:09+10:00	test: retain setup phase in missing-resolution-log fixture
045e626e9c0e8b91de2869eee8fd8a36dc4f183a	2026-09-11T18:34:51+10:00	fix: preserve exact live retention ownership and interruption evidence
a3f6d5e75a7a95c9c533fb46faac6e4562c1cc59	2026-09-11T17:43:01+10:00	feat: retain each full matrix test before advancing
4b92bc340b2997eaf0200a220b4b1b03eb619900	2026-09-11T14:48:37+10:00	test: bound the manual live evidence workflow check
3e1415f28c78406f61af6aafb04844e42cc19dab	2026-09-11T14:40:01+10:00	fix: preserve diagnostic workflow test boundaries
2eafeb48a01431563d95aba8949260ef06b11ce5	2026-09-11T14:23:29+10:00	fix: retain verified MCX-19 pilot checkpoints and acknowledgements
39eed65f197c9344216bbcbe938ce0812f5d9d5d	2026-09-11T09:37:00+10:00	diagnose(mcx-19): isolate Pro Max contrast audit
86d60f395feb22967db94ba360bec9bce056ca21	2026-09-11T09:19:03+10:00	test(mcx-19): align action target source contract
b33548a53a8808d42888a0aed9dc7dcb64cefa46	2026-09-11T09:08:27+10:00	fix(mcx-19): retain baseline history in Codemagic workflows
1883d95e938dff9afdeaca018472120a22fb3d6e	2026-09-11T08:45:00+10:00	fix(mcx-19): repair native checks and add focused verification
6155d1197dc01910b0d7cd8bbb4ceb949969c5f9	2026-09-11T05:18:04+10:00	ci(mcx-19): allow live evidence matrix to finish
809a4576fb03d35eea52d0a2fe174151e3fc2949	2026-09-10T19:07:53+10:00	Increase simulator verification window for live evidence
dbb2bbf5e27011d0590d3e04b95fbeefd8647ba6	2026-09-10T14:09:33+10:00	ci(mcx-19): use m2 pool for live simulators
0fed7141bdc7268b3f86cc3ccf82aa4b901f59d4	2026-09-10T14:00:45+10:00	docs(mcx-19): correct simulator log stream wording
e25dd29c8aae3da3f5a22088e8f20e66b22aa6c1	2026-09-10T13:54:23+10:00	fix(mcx-19): keep simulator diagnostics off destination stdout
7519dba068ee6c52497c29acfbf6dd263bf764d5	2026-09-10T13:47:54+10:00	fix(mcx-19): harden simulator diagnostics
a3a95955c862d55b9bb679fa988fecb4429a59c5	2026-09-10T11:40:48+10:00	test(mcx-19): correct native action order fixture
2b5cebe2144ad0fc99fa4be748d3653e2a8038ce	2026-09-10T10:39:32+10:00	feat: retain full matrix records in private quarantine
4c2e56efc4ef21355707ac612e21da5a543fedf9	2026-09-10T06:49:07+10:00	fix: retain unresolved native records in private quarantine
